0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0.004755765,0.0047456515,0.004757058,0.0047661294,0.0048434827,0.0047822883,0.008428283,0.0056517953,0.004841769,0.004738517,0.005036799,0.0047451193,0.0047760545,0.004750439,0.0047421535,0.004751085,0.0047307764,0.004747139,0.0049594664,0.0047281547,0.004748798,0.00473163,0.0048476723,0.0048619076,0.0053983126,0.013268508,0.0056805224,0.0058832825,0.0047527817,0.0047437404,0.029979965,0.0048155864,0.004751284,0.004745146,0.0047319224,0.02900862,0.0047968933,0.0056217904,0.012522063,0.0047995783,0.004826373,0.01668731,0.00473022,0.027973177,0.008033936,0.02478736,0.004738802,0.005240611,0.004735545,0.00931713,0.004755197,0.032361742,0.0063436823,0.0052942545,0.027267085,0.004732106,0.03435762,0.004770019,0.004732704,0.0047647343,0.0048610745,0.030349927,0.004795126,0.00472916,0.004730144,0.0047515207,0.020372238,0.00473196,0.004755464,0.0047440906,0.0059746713,0.004727868,0.0047329627,0.0047536283,0.004760541,0.005139265,0.0047307555,0.0048070857,0.0048720227,0.0047484497,0.007888727,0.004759414,0.010505935,0.018255278,0.0047483416,0.0047594993,0.011782512,0.0047286064,0.004756875,0.03210031,0.0047845375,0.0047829477,0.0048753503,0.0051912745,0.00480671,0.029249387,0.004750046,0.004728189,0.0083007105,0.033079173,0.0047749574,0.004740199,0.007464768,0.034784112,0.0047649923,0.020037532,0.004793851,0.004754638,0.0047337986,0.007578566,0.00476281,0.005003566,0.0047582965,0.010454571,0.004729735,0.0051525664,0.004735233,0.0049261274,0.004730342
0.0051177046,0.0051633366,0.005265977,0.0051709544,0.0054125814,0.005250201,0.006491052,0.0052479147,0.0053053503,0.005220926,0.0064487583,0.0052012163,0.005479716,0.005131099,0.0051113083,0.0051699285,0.0050370493,0.0052612345,0.0053411284,0.0050158384,0.005179597,0.0050284555,0.0057212976,0.0061619864,0.0053881384,0.02331581,0.009597505,0.010127502,0.0052581322,0.00562307,0.012453251,0.005060129,0.0050541973,0.0050696125,0.0050307256,0.0068595307,0.0051814513,0.008219077,0.015493397,0.00549001,0.005141918,0.02053976,0.0050497167,0.026332058,0.008111188,0.009096022,0.005092733,0.005906998,0.0050704814,0.005797742,0.0051453104,0.025575567,0.017912297,0.0074981716,0.02773109,0.005056782,0.034721896,0.0051780073,0.005107936,0.005117121,0.005292869,0.030740304,0.0050963587,0.0050303033,0.005031314,0.0051068836,0.012957804,0.005102235,0.0051189214,0.0051126704,0.0058485423,0.0050132484,0.0050408854,0.005323254,0.00513167,0.0051844204,0.0050330614,0.005258316,0.0055536753,0.0051303,0.005369131,0.0051315906,0.005755851,0.010500137,0.0051556784,0.005202742,0.030751722,0.0050264774,0.0054076575,0.03526859,0.005039716,0.005114598,0.0050891642,0.0059162253,0.005551025,0.021706915,0.0051716072,0.0050476175,0.019748418,0.028711706,0.005263301,0.0050835195,0.005659096,0.031698193,0.00525382,0.0066898386,0.0051986924,0.00533183,0.0050654635,0.005076277,0.0051299357,0.010308706,0.0051573194,0.01701046,0.005022029,0.0056464695,0.0050429413,0.006184194,0.0050653275
0.004675745,0.004670365,0.004677167,0.004720124,0.0048631732,0.0046789492,0.0073608044,0.005192281,0.0047258767,0.0046632197,0.00480742,0.004670704,0.0046872674,0.004658092,0.004671638,0.0046598,0.004652022,0.0046835644,0.004726448,0.0046507046,0.0046809344,0.004651517,0.0047400678,0.0048903604,0.0053889225,0.019106768,0.004933325,0.005860024,0.0046868282,0.0046758438,0.025913708,0.0047219503,0.0046784463,0.0046576723,0.0046520433,0.024346504,0.0046933233,0.0063806707,0.015798185,0.0047191805,0.004733726,0.011654536,0.004654282,0.02644006,0.009320728,0.025554776,0.0046654427,0.004809728,0.004666066,0.0065548294,0.0046799364,0.032601263,0.006674348,0.0053835926,0.02658625,0.004659684,0.034022905,0.0047342866,0.0046620322,0.0047071734,0.0048019774,0.028699392,0.004693345,0.0046513136,0.004652384,0.004666501,0.015679114,0.004653797,0.0047148014,0.0046645016,0.005982647,0.00465027,0.0046524084,0.0046710647,0.0046782843,0.004789564,0.0046530967,0.004724644,0.0048351027,0.0046768114,0.012277033,0.0046681655,0.014791263,0.01918517,0.004686967,0.004702131,0.015543931,0.0046502575,0.0046908394,0.032643016,0.0046809576,0.0046819844,0.0048062033,0.0051103397,0.0047027003,0.03129351,0.0046932637,0.004650273,0.008274551,0.033054207,0.0046935333,0.0046580774,0.009915093,0.034112643,0.004692845,0.024897128,0.004725012,0.004664407,0.004659751,0.009179409,0.004667352,0.0050415895,0.004678094,0.008594266,0.0046510603,0.004930089,0.0046579777,0.004914726,0.004651879
0.004817907,0.0048179673,0.0048291567,0.004817757,0.004869238,0.0048314044,0.0051876237,0.0049868273,0.00485039,0.0048199818,0.0051709455,0.0048156613,0.004826419,0.0048183645,0.0048144343,0.0048310906,0.0048111863,0.004862254,0.0048690517,0.0048082164,0.0048417808,0.0048092543,0.0049017384,0.0050122435,0.0052223713,0.02303738,0.0056637875,0.0068499567,0.0048348308,0.0048313434,0.029483082,0.004846171,0.0048125936,0.0048166323,0.0048091123,0.008293572,0.0048612193,0.0059852293,0.015342091,0.004932463,0.00484903,0.029140778,0.004809202,0.030278662,0.006347837,0.012872137,0.004819743,0.00507315,0.004812855,0.00597915,0.004830687,0.033045456,0.0084066475,0.0057864315,0.030789087,0.0048109344,0.035259858,0.004852663,0.004816443,0.0048270263,0.004947698,0.033438817,0.004829452,0.0048086043,0.004809374,0.0048166406,0.019800665,0.004810724,0.0048237178,0.0048146546,0.005232023,0.0048080403,0.004808783,0.00484691,0.0048247944,0.004936048,0.0048103994,0.004854466,0.0049235816,0.0048133484,0.00518003,0.004828956,0.005472159,0.021104459,0.0048196735,0.004852051,0.027789004,0.004808267,0.004830314,0.034485567,0.0048143067,0.0048413156,0.00483681,0.0049720374,0.004852171,0.02723665,0.0048290603,0.0048093097,0.013033132,0.032378808,0.0048557683,0.004812816,0.0064682416,0.034700483,0.004832248,0.009268556,0.004924094,0.004821197,0.0048116054,0.0048848004,0.004815285,0.0051081814,0.004822208,0.008604845,0.004808951,0.005171251,0.004809198,0.0050867763,0.0048101433
0.004961073,0.005007649,0.0049621416,0.004931864,0.0052958825,0.0049667517,0.0057112486,0.0053955703,0.0051808716,0.0049076728,0.0055363476,0.00490673,0.005180351,0.0050197016,0.0049922783,0.004921247,0.0049223383,0.005047575,0.005104044,0.004878375,0.0050454056,0.0048836605,0.004980792,0.0052453955,0.0068959105,0.017152565,0.007771598,0.0054253973,0.004928468,0.005101552,0.018910494,0.005288182,0.0050056684,0.004930298,0.004898305,0.026505673,0.0051087686,0.0071979477,0.02102969,0.005144624,0.0051562395,0.017782975,0.0049182232,0.014551915,0.014393822,0.013545625,0.004939951,0.005203446,0.004940141,0.0073370417,0.0049227956,0.03082373,0.0123892715,0.0075172577,0.021593401,0.004921793,0.035098337,0.0057058893,0.005014619,0.00510663,0.0052980417,0.030915286,0.0050092037,0.0048804204,0.004869756,0.004997954,0.017760482,0.00490642,0.0050073224,0.0050073457,0.005064929,0.004862619,0.00505081,0.0049749413,0.005007478,0.006370041,0.0048753857,0.004974495,0.0051354715,0.0049225693,0.00798886,0.004993393,0.017378805,0.015201388,0.0049849646,0.00492841,0.008339755,0.004865666,0.0049898596,0.033721395,0.005122238,0.004939592,0.0050571845,0.0053068376,0.004923584,0.026903613,0.005156758,0.0048704366,0.018016234,0.027146831,0.0050978935,0.004934876,0.008130183,0.032038648,0.0052139536,0.015502426,0.005001028,0.0049615824,0.0049211024,0.0064217313,0.004962314,0.0057710544,0.0050323196,0.012783295,0.004875298,0.005459621,0.004903194,0.005189686,0.0049297535
0.0044588624,0.0044572307,0.0044740657,0.00445811,0.0044780215,0.004464526,0.0055763205,0.0045589423,0.004473825,0.004454753,0.0044920063,0.004457339,0.0044621774,0.004455879,0.0044586407,0.0044587585,0.004454045,0.0044766273,0.004474681,0.0044539683,0.0044646263,0.004454218,0.0044964217,0.004491863,0.0052031963,0.03072838,0.004697756,0.0055032885,0.004469984,0.0044790423,0.029639482,0.004491331,0.004457423,0.004456612,0.0044541317,0.017004319,0.004489501,0.0050032525,0.023410302,0.0044797217,0.00446969,0.029112896,0.0044561136,0.030579453,0.008616289,0.010648636,0.0044596777,0.004671947,0.0044565974,0.006437927,0.0044673057,0.032143254,0.0048057674,0.0047337785,0.032053813,0.004456064,0.032799095,0.0045222673,0.004462195,0.004458774,0.004507689,0.032563783,0.004503487,0.004454072,0.004454164,0.0044583497,0.027683968,0.0044550854,0.0044652005,0.0044588693,0.0045307875,0.00445384,0.004454355,0.0044733775,0.004463871,0.004520518,0.0044545047,0.004485532,0.0046176394,0.0044576866,0.004688445,0.004462655,0.0061831977,0.027721824,0.0044687195,0.0044724755,0.028562961,0.004453892,0.0044676657,0.031388678,0.0044568875,0.0044721584,0.004467838,0.004536142,0.0044730217,0.031846534,0.0044690454,0.004453959,0.006829027,0.03242071,0.00453195,0.0044577704,0.00768001,0.03273139,0.004460521,0.01976958,0.0044885655,0.0044615017,0.0044560996,0.0049071577,0.0044600144,0.0045197397,0.004465389,0.005291442,0.004454062,0.0047293487,0.0044550337,0.004827981,0.0044546914
0.0043880926,0.0043831626,0.004385057,0.004385883,0.004421567,0.0043949075,0.005226688,0.0046828752,0.004406121,0.004381962,0.0044194055,0.004382353,0.0043885005,0.004383415,0.0043839584,0.004384251,0.0043814993,0.0043875375,0.004421177,0.0043812543,0.0043871896,0.004381453,0.0043928134,0.004413436,0.005170129,0.023726953,0.0045559607,0.004830394,0.0043848585,0.004386566,0.030746803,0.0044338293,0.0043881475,0.0043857032,0.0043819146,0.029949129,0.0043964535,0.004718414,0.019873027,0.0044004656,0.004404106,0.024808815,0.0043815407,0.02622491,0.008441467,0.025665876,0.004383402,0.0045387424,0.004382238,0.010907282,0.0043873326,0.031935852,0.004739215,0.0046643713,0.0305518,0.0043816953,0.032249406,0.004405279,0.0043840464,0.0043875244,0.0044921483,0.030969992,0.004417235,0.004381476,0.0043815146,0.0043859114,0.026317626,0.004381702,0.0043860343,0.0043848692,0.004576148,0.004381229,0.0043819826,0.004388826,0.0043838727,0.0045772474,0.004381586,0.004408748,0.004499573,0.004384477,0.006076032,0.004387304,0.01640936,0.023673108,0.004388302,0.0043871617,0.0132588195,0.0043812743,0.004385656,0.030609481,0.0043930807,0.004392016,0.00440018,0.004528463,0.0043907515,0.031791806,0.0043896157,0.0043812254,0.005293157,0.03185098,0.0043964214,0.0043843943,0.008620209,0.03232124,0.004386801,0.026175054,0.004418856,0.0043852497,0.00438281,0.007872531,0.004384354,0.0044013243,0.0043918286,0.005230219,0.0043813125,0.004503184,0.0043821456,0.0044719437,0.0043819137
0.0055779493,0.0054438617,0.0054467246,0.0053875474,0.006473362,0.0056870887,0.00603231,0.0055638393,0.005918432,0.005559628,0.0076183565,0.005363217,0.0057286853,0.005631207,0.005558016,0.005314391,0.0054431437,0.0056431307,0.0060451594,0.0052067474,0.005804781,0.005232366,0.0054623326,0.006692584,0.0064090593,0.016445737,0.014481846,0.0063090534,0.0053052325,0.0058989683,0.009724743,0.005592315,0.0054746587,0.005354691,0.0053770724,0.013195649,0.005660282,0.015220183,0.021900615,0.0061355657,0.005682083,0.012678863,0.0053342674,0.011520616,0.011006186,0.008583581,0.0053247754,0.0058859456,0.0053716656,0.007077968,0.005389453,0.030810354,0.027135603,0.011146011,0.0129280705,0.0053620394,0.035482857,0.0057895957,0.005413276,0.005607131,0.0056380597,0.021060672,0.0053351577,0.0052743433,0.0052121645,0.0055287476,0.010900189,0.0053426516,0.0055304063,0.00548672,0.005673695,0.005160787,0.00569302,0.005585615,0.0054187165,0.006442642,0.0052636727,0.00541226,0.0055775973,0.0054714438,0.007831724,0.005428459,0.015496976,0.0075590084,0.0053816997,0.0052862624,0.01036283,0.005200133,0.0053962544,0.035970394,0.0057242834,0.005338075,0.005662567,0.0074826307,0.005468402,0.016553128,0.0058430457,0.0051855533,0.02732058,0.020902934,0.005435427,0.0054018334,0.006825118,0.02466942,0.0059396056,0.009681791,0.005561846,0.005399529,0.005409075,0.0055917976,0.0054068984,0.008964866,0.005468023,0.022804676,0.0052097775,0.0057081897,0.0053260126,0.00565676,0.005284961
0.0053121694,0.005133411,0.0052653453,0.0053306296,0.005953572,0.0055791927,0.010652913,0.0053134626,0.0052613653,0.00525396,0.0065704025,0.0052666734,0.005455807,0.005158888,0.0050940015,0.005052634,0.004996669,0.0054436624,0.005386651,0.004974456,0.0052370513,0.0049772407,0.0054325564,0.0063685533,0.0061378884,0.018386388,0.009964829,0.010538279,0.005204368,0.0054089245,0.010392289,0.0051746485,0.0050995513,0.0050700847,0.0050189043,0.009597042,0.0052447724,0.014298791,0.01491066,0.0054580327,0.0052994452,0.0084822215,0.0050893775,0.021849347,0.008147926,0.01005897,0.005043973,0.006308498,0.0050741713,0.0060485434,0.0050949445,0.026890835,0.016817696,0.009201175,0.024618305,0.005089886,0.0331931,0.005343477,0.005064609,0.005422089,0.005582636,0.02847691,0.0052987463,0.004986832,0.0050130836,0.00509177,0.0169999,0.005013509,0.0052531115,0.005262147,0.0071638008,0.004967964,0.004994721,0.0056673693,0.0051347744,0.0051249815,0.0050108205,0.005429736,0.005487535,0.0051522274,0.0074842814,0.005074404,0.0064809904,0.014685397,0.005194414,0.005300665,0.026954422,0.0050279777,0.005536381,0.03518773,0.0050341347,0.005243721,0.0051630693,0.0061546783,0.0061167507,0.017721664,0.0052866517,0.0050094645,0.022300322,0.027085694,0.00517966,0.0051733674,0.006550549,0.031957354,0.0054231915,0.009969768,0.0053991005,0.005148912,0.005048913,0.005755202,0.005233579,0.00981082,0.005109364,0.015251499,0.0049953377,0.0061016916,0.0050260015,0.0061583365,0.0050366367
